,Date,Country,Confirmed,Recovered,Deaths
5695,2020-02-21,Italy,0.330787219996061,0.0,0.01653936099980305
5771,2020-02-21,Sweden,0.09901705766852456,0.0,0.0
5783,2020-02-21,US,0.045528179282612664,0.015176059760870888,0.0
5787,2020-02-21,United Kingdom,0.13257519178769162,0.11784461492239255,0.0
5863,2020-02-22,Germany,0.19096737447729395,0.1670964526676322,0.0
5882,2020-02-22,Italy,1.025440381987789,0.01653936099980305,0.0330787219996061
5958,2020-02-22,Sweden,0.09901705766852456,0.0,0.0
5970,2020-02-22,US,0.045528179282612664,0.015176059760870888,0.0
5974,2020-02-22,United Kingdom,0.13257519178769162,0.11784461492239255,0.0
6050,2020-02-23,Germany,0.19096737447729395,0.1670964526676322,0.0
6069,2020-02-23,Italy,2.5636009549694725,0.0330787219996061,0.04961808299940915
6145,2020-02-23,Sweden,0.09901705766852456,0.0,0.0
6157,2020-02-23,US,0.045528179282612664,0.015176059760870888,0.0
6161,2020-02-23,United Kingdom,0.13257519178769162,0.11784461492239255,0.0
6237,2020-02-24,Germany,0.19096737447729395,0.1670964526676322,0.0
6256,2020-02-24,Italy,3.7875136689548983,0.01653936099980305,0.11577552699862134
6332,2020-02-24,Sweden,0.09901705766852456,0.0,0.0
6344,2020-02-24,US,0.15479580956088304,0.015176059760870888,0.0
6348,2020-02-24,United Kingdom,0.1914974992488879,0.11784461492239255,0.0
6424,2020-02-25,Germany,0.2029028353821248,0.1670964526676322,0.0
6443,2020-02-25,Italy,5.325674241936582,0.01653936099980305,0.1653936099980305
6519,2020-02-25,Sweden,0.09901705766852456,0.0,0.0
6531,2020-02-25,US,0.15479580956088304,0.018211271713045065,0.0
6535,2020-02-25,United Kingdom,0.1914974992488879,0.11784461492239255,0.0
6611,2020-02-26,Germany,0.3222574444304335,0.17903191357246306,0.0
6630,2020-02-26,Italy,7.492330532910781,0.04961808299940915,0.1984723319976366
6706,2020-02-26,Sweden,0.19803411533704912,0.0,0.0
6718,2020-02-26,US,0.1730070812739281,0.018211271713045065,0.0
6722,2020-02-26,United Kingdom,0.1914974992488879,0.11784461492239255,0.0
6798,2020-02-27,Germany,0.5490312016222201,0.19096737447729395,0.0
6817,2020-02-27,Italy,10.833281454870997,0.7442712449911372,0.28116913699665186
6893,2020-02-27,Sweden,0.6931194036796718,0.0,0.0
6905,2020-02-27,US,0.1760422932261023,0.018211271713045065,0.0
6909,2020-02-27,United Kingdom,0.22095865297948603,0.11784461492239255,0.0
6985,2020-02-28,Germany,0.5729021234318818,0.19096737447729395,0.0
7004,2020-02-28,Italy,14.686952567825108,0.7608106059909403,0.34732658099586405
7080,2020-02-28,Sweden,0.6931194036796718,0.0,0.0
7092,2020-02-28,US,0.18211271713045066,0.02124648366521924,0.0
7096,2020-02-28,United Kingdom,0.2946115373059814,0.11784461492239255,0.0
7172,2020-02-29,Germany,0.9429014114816389,0.19096737447729395,0.0
7191,2020-02-29,Italy,18.656399207777838,0.7608106059909403,0.47964146899428844
7267,2020-02-29,Sweden,1.1882046920222946,0.0,0.0
7279,2020-02-29,US,0.20639441274784406,0.02124648366521924,0.0030352119521741775
7283,2020-02-29,United Kingdom,0.3388032679018786,0.11784461492239255,0.0
7359,2020-03-01,Germany,1.5516099176280134,0.19096737447729395,0.0
7378,2020-03-01,Italy,28.017677533666365,1.3727669629836532,0.5623382739933037
7454,2020-03-01,Sweden,1.3862388073593437,0.0,0.0
7466,2020-03-01,US,0.22460568446088913,0.02124648366521924,0.0030352119521741775
7470,2020-03-01,United Kingdom,0.5303007671507665,0.11784461492239255,0.0
7546,2020-03-02,Germany,1.8977382838681087,0.19096737447729395,0.0
7565,2020-03-02,Italy,33.67413899559901,2.4643647889706544,0.8600467719897585
7641,2020-03-02,Sweden,1.4852558650278684,0.0,0.0
7653,2020-03-02,US,0.2974507713130694,0.02124648366521924,0.018211271713045065
7657,2020-03-02,United Kingdom,0.5892230746119628,0.11784461492239255,0.0
7733,2020-03-03,Germany,2.339350337346851,0.19096737447729395,0.0
7752,2020-03-03,Italy,41.38148122150723,2.646297759968488,1.3066095189844409
7828,2020-03-03,Sweden,2.0793582110390156,0.0,0.0
7840,2020-03-03,US,0.35815501035655295,0.02124648366521924,0.02124648366521924
7844,2020-03-03,United Kingdom,0.7512594201302525,0.11784461492239255,0.0
7920,2020-03-04,Germany,3.1270907570656883,0.19096737447729395,0.0
7939,2020-03-04,Italy,51.09008612839162,4.564863635945642,1.7697116269789264
8015,2020-03-04,Sweden,3.4655970183983595,0.0,0.0
8027,2020-03-04,US,0.4522465808739524,0.02124648366521924,0.033387331473915954
8031,2020-03-04,United Kingdom,1.26682961041572,0.11784461492239255,0.0
8107,2020-03-05,Germany,5.75289215612848,0.19096737447729395,0.0
8126,2020-03-05,Italy,63.80885473724016,6.847295453918463,2.447825427970851
8202,2020-03-05,Sweden,9.307603420841309,0.0,0.0
8214,2020-03-05,US,0.6586409936217965,0.02124648366521924,0.03642254342609013
8218,2020-03-05,United Kingdom,1.708746916374692,0.11784461492239255,0.0
8294,2020-03-06,Germany,7.996758806236684,0.2029028353821248,0.0
8313,2020-03-06,Italy,76.67647759508694,8.650085802896994,3.2582541169612007
8389,2020-03-06,Sweden,10.000722824520981,0.0,0.0
8401,2020-03-06,US,0.7952255314696345,0.02124648366521924,0.04249296733043848
8405,2020-03-06,United Kingdom,2.415814605909047,0.11784461492239255,0.014730576865299069
8481,2020-03-07,Germany,9.536433262959866,0.2148382962869557,0.0
8500,2020-03-07,Italy,97.30106076184134,9.741683628883996,3.8536711129541104
8576,2020-03-07,Sweden,15.941746284632453,0.0,0.0
8588,2020-03-07,US,1.2201552047740194,0.02124648366521924,0.051598603186961016
8592,2020-03-07,United Kingdom,3.049229411116907,0.26515038357538323,0.029461153730598138
8668,2020-03-08,Germany,12.412879341024107,0.2148382962869557,0.0
8687,2020-03-08,Italy,121.97778737354749,10.287482541877496,6.053406125927916
8763,2020-03-08,Sweden,20.100462706710484,0.0,0.0
8775,2020-03-08,US,1.5722397912262238,0.02124648366521924,0.06373945099565773
8779,2020-03-08,United Kingdom,4.036178061091944,0.26515038357538323,0.029461153730598138
8855,2020-03-09,Germany,14.036102024081105,0.2148382962869557,0.023870921809661744
8874,2020-03-09,Italy,151.69901909019356,11.974497363857408,7.657724142908812
8950,2020-03-09,Sweden,24.55623030179409,0.09901705766852456,0.0
8962,2020-03-09,US,1.7695285681175454,0.02124648366521924,0.06677466294783191
8966,2020-03-09,United Kingdom,4.7432457506263,0.26515038357538323,0.044191730595897205
9042,2020-03-10,Germany,17.38996653833858,0.2148382962869557,0.023870921809661744
9061,2020-03-10,Italy,167.85797478700115,11.974497363857408,10.436336790875725
9137,2020-03-10,Sweden,35.15105547232622,0.09901705766852456,0.0
9149,2020-03-10,US,2.910768262135036,0.02428169561739342,0.08498593466087696
9153,2020-03-10,United Kingdom,5.656541516274842,0.2798809604406823,0.10311403805709347
9229,2020-03-11,Germany,22.772859406417304,0.2983865226207718,0.035806382714492616
9248,2020-03-11,Italy,206.1135167795456,17.283632244794187,13.678051546837121
9324,2020-03-11,Sweden,49.50852883426228,0.09901705766852456,0.09901705766852456
9336,2020-03-11,US,3.8881065107351214,0.02428169561739342,0.10926763027827038
9340,2020-03-11,United Kingdom,6.761334781172272,0.2798809604406823,0.10311403805709347
9416,2020-03-12,Germany,24.80188776023855,0.2983865226207718,0.035806382714492616
9435,2020-03-12,Italy,206.1135167795456,17.283632244794187,13.678051546837121
9511,2020-03-12,Sweden,59.31121754344621,0.09901705766852456,0.09901705766852456
9523,2020-03-12,US,5.0475574764656574,0.03642254342609013,0.12444369003914127
9527,2020-03-12,United Kingdom,6.761334781172272,0.2798809604406823,0.13257519178769162
9603,2020-03-13,Germany,43.862818825253456,0.5490312016222201,0.0835482263338161
9622,2020-03-13,Italy,292.0851152565219,23.80014047871659,20.93883102575066
9698,2020-03-13,Sweden,80.59988494217899,0.09901705766852456,0.09901705766852456
9710,2020-03-13,US,6.613726843787533,0.03642254342609013,0.1487253856565347
9714,2020-03-13,United Kingdom,11.813922645969853,0.2798809604406823,0.1473057686529907
9790,2020-03-14,Germany,54.72408824864955,0.5490312016222201,0.10741914814347785
9809,2020-03-14,Italy,349.9232606728331,32.5163837256128,23.833219200716194
9885,2020-03-14,Sweden,95.1553924194521,0.09901705766852456,0.19803411533704912
9897,2020-03-14,US,8.277022993578981,0.03642254342609013,0.1760422932261023
9901,2020-03-14,United Kingdom,16.851779933902133,0.2798809604406823,0.4124561522283739
9977,2020-03-15,Germany,69.1659959434949,0.5490312016222201,0.13129006995313958
9996,2020-03-15,Italy,409.29956666212604,38.61940793454012,29.919704048643716
10072,2020-03-15,Sweden,101.1954329372321,0.09901705766852456,0.29705117300557365
10084,2020-03-15,US,10.620206620657447,0.03642254342609013,0.22157047250871495
10088,2020-03-15,United Kingdom,16.866510510767434,0.2798809604406823,0.63341480520786
10164,2020-03-16,Germany,86.7946716999301,0.7996758806236685,0.2029028353821248
10183,2020-03-16,Italy,462.7713207744893,45.46670338845858,35.69194103757498
10259,2020-03-16,Sweden,109.21581460838259,0.09901705766852456,0.5941023460111473
10271,2020-03-16,US,14.05910176247079,0.051598603186961016,0.30048598326524356
10275,2020-03-16,United Kingdom,22.847124718078856,0.30934211417128044,0.9722180731097385
10351,2020-03-17,Germany,110.48656159601938,0.7996758806236685,0.2864510617159409
10370,2020-03-17,Italy,521.0891076597949,48.64226070042077,41.39802058250703
10446,2020-03-17,Sweden,117.83029862554422,0.09901705766852456,0.6931194036796718
10458,2020-03-17,US,19.489095944910392,0.051598603186961016,0.4036831896391656
10462,2020-03-17,United Kingdom,28.871930655986173,0.7807205738608506,1.2079073029545235
10538,2020-03-18,Germany,147.12842657385016,1.2532233950072416,0.3341929053352644
10557,2020-03-18,Italy,590.6701993859663,66.57092802420728,49.254217057413484
10633,2020-03-18,Sweden,126.64281675804291,0.09901705766852456,0.9901705766852456
10645,2020-03-18,US,23.623054623771623,0.3186972549782886,0.4977747601565651
10649,2020-03-18,United Kingdom,38.918184078120134,0.9869486499750376,1.708746916374692
10725,2020-03-19,Germany,182.85126106200894,1.3487070822458884,0.5251602798125583
10744,2020-03-19,Italy,678.6926786269181,73.43476283912554,56.31652420432938
10820,2020-03-19,Sweden,142.48554598500684,1.584272922696393,1.08918763435377
10832,2020-03-19,US,41.72505870653842,0.36726064621307547,0.7830846836609378
10836,2020-03-19,United Kingdom,40.00824676615227,0.9869486499750376,2.342161721582552
10912,2020-03-20,Germany,236.89502803908314,2.1483829628695568,0.7996758806236685
10931,2020-03-20,Italy,777.6972935717392,73.43476283912554,66.6867035512059
11007,2020-03-20,Sweden,162.28895751871175,1.584272922696393,1.584272922696393
11019,2020-03-20,US,58.49763995425292,0.44617615696960405,1.0592889713087879
11023,2020-03-20,United Kingdom,59.12853553731046,0.9869486499750376,2.8724624887333183
11099,2020-03-21,Germany,265.12239307900813,2.780962390825593,1.0025787160057933
11118,2020-03-21,Italy,886.1458836474478,100.42699999080412,79.80241682404971
11194,2020-03-21,Sweden,174.5670726696088,1.584272922696393,1.980341153370491
11206,2020-03-21,US,77.70142597565894,0.5341973035826553,1.3415636828609865
11210,2020-03-21,United Kingdom,74.63983297647037,0.9869486499750376,3.697374793190066
11286,2020-03-22,Germany,296.8707190858583,3.174832600685012,1.121933325054102
11305,2020-03-22,Italy,978.1047308063527,116.17247166261662,90.5695408349215
11381,2020-03-22,Sweden,191.49898953092648,1.584272922696393,2.0793582110390156
11393,2020-03-22,US,100.99971292054792,0.5402677274870036,1.778634203974068
11397,2020-03-22,United Kingdom,84.62716409114314,0.9869486499750376,4.212944983475533
11473,2020-03-23,Germany,346.7967520507658,3.174832600685012,1.4680616912941973
11492,2020-03-23,Italy,1057.3117306344095,116.17247166261662,100.50969679580314
11568,2020-03-23,Sweden,202.58889998980123,1.584272922696393,2.4754264417131138
11580,2020-03-23,US,133.07279761917246,0.5402677274870036,2.3856765944089036
11584,2020-03-23,United Kingdom,99.07785999600154,0.9869486499750376,5.303007671507665
11660,2020-03-24,Germany,393.70311340675113,38.706699714366515,1.873867362058447
11679,2020-03-24,Italy,1144.1268365223757,137.7067196843602,112.7984420186568
11755,2020-03-24,Sweden,226.35299383024713,1.584272922696393,3.564614076066884
11767,2020-03-24,US,163.1001494620316,1.0562537593566137,3.059493647791571
11771,2020-03-24,United Kingdom,120.26042952830159,2.0622807611418694,7.497863624437226
11847,2020-03-25,Germany,445.4672073510026,42.3350798294351,2.4587049463951596
11866,2020-03-25,Italy,1230.2969073313495,154.84149768015615,124.09482558152227
11942,2020-03-25,Sweden,250.11708767069302,1.584272922696393,6.139057575448523
11954,2020-03-25,US,199.65017179011303,1.0957115147348782,3.9943389290612177
11958,2020-03-25,United Kingdom,142.00276098148302,2.0622807611418694,10.237750921382853
12034,2020-03-26,Germany,524.4202812364589,67.70986971310553,3.186768061589843
12053,2020-03-26,Italy,1332.890563613128,171.3643193189594,135.87085061338206
12129,2020-03-26,Sweden,281.20844377860976,1.584272922696393,7.624313440476391
12141,2020-03-26,US,254.46002922247433,2.0669793394306146,5.2387758294526305
12145,2020-03-26,United Kingdom,173.9975739329126,2.2095865297948603,12.94817706459788
12221,2020-03-27,Germany,607.1688316896513,79.46629870436395,4.081927629452158
12240,2020-03-27,Italy,1430.6216477609642,181.1060029478434,151.07052337220105
12316,2020-03-27,Sweden,303.88334998470185,1.584272922696393,10.396791055195079
12328,2020-03-27,US,308.55054142217034,2.63759918643936,6.874755071674512
12332,2020-03-27,United Kingdom,217.20235587883477,2.2243171066601595,17.131660894342815
12408,2020-03-28,Germany,688.6164169042172,101.22464393387062,5.168054571791767
12427,2020-03-28,Italy,1529.4277903737875,204.82344662156098,165.77401530102597
12503,2020-03-28,Sweden,341.31179778340413,1.584272922696393,10.396791055195079
12515,2020-03-28,US,368.67201977083647,3.253747212730718,8.289163841387678
12519,2020-03-28,United Kingdom,255.01574669205746,2.2243171066601595,21.462450492740743
12595,2020-03-29,Germany,741.132444885473,109.93753039439716,6.361600662274855
12614,2020-03-29,Italy,1615.71363670976,215.50787382743374,178.27777221687708
12690,2020-03-29,Sweden,366.36311337354084,1.584272922696393,10.891876343537701
12702,2020-03-29,US,427.68868096891117,8.088839852544183,10.380424876435686
12706,2020-03-29,United Kingdom,291.3708103956156,2.2243171066601595,24.62952451878004
12782,2020-03-30,Germany,798.3033026196129,161.12872221521678,7.698372283615912
12801,2020-03-30,Italy,1682.6980487589624,241.80545781712058,191.70773334871714
12877,2020-03-30,Sweden,398.8407082888169,1.584272922696393,14.456490419604584
12889,2020-03-30,US,491.1913854322993,17.130736258071057,12.723608503514152
12893,2020-03-30,United Kingdom,330.74564235656,2.5189286439661407,30.138760266401892
12969,2020-03-31,Germany,857.0615766540952,192.16092056777703,9.249982201243926
12988,2020-03-31,Italy,1749.7320788911643,260.14760916590217,205.5511785055523
13064,2020-03-31,Sweden,439.1406507599064,1.584272922696393,17.82307038033442
13076,2020-03-31,US,571.1419034645193,21.31932875207142,16.28998254731881
13080,2020-03-31,United Kingdom,375.34982910468557,2.636773258888533,35.780571205811434
13156,2020-04-01,Germany,929.4382115809897,223.1931189203373,10.980624032444402
13175,2020-04-01,Italy,1828.8233031922223,278.63861476368197,217.5752939524091
13251,2020-04-01,Sweden,489.83738428619097,10.19875693985803,23.66507678277737
13263,2020-04-01,US,647.2346671055259,25.72038608272398,19.73191290108433
13267,2020-04-01,United Kingdom,439.9286780821567,2.636773258888533,45.66478828242711
13343,2020-04-02,Germany,1012.0554719642289,267.83174270440475,13.212555221647776
13362,2020-04-02,Italy,1906.029040339303,302.30644035440014,230.14520831225943
13438,2020-04-02,Sweden,551.3269770983447,10.19875693985803,30.497253761905565
13450,2020-04-02,US,739.4444062125774,27.31994278151977,24.04191387317166
13454,2020-04-02,United Kingdom,503.38800321786505,2.828270758137421,55.2691243986021
13530,2020-04-03,Germany,1088.0246806234775,293.31395173621866,15.217712653659362
13549,2020-04-03,Italy,1981.8620105234,326.78469463410863,242.81435883810857
13625,2020-04-03,Sweden,607.073580565724,20.298496822047532,35.44810664533179
13637,2020-04-03,US,835.7972096343467,29.46280241975474,28.063569709802444
13641,2020-04-03,United Kingdom,569.9112883415556,3.0639599879822064,65.80148685729094
13717,2020-04-04,Germany,1146.9023092670081,315.096167887535,17.234805546575778
13736,2020-04-04,Italy,2061.3336401274537,347.26042355186485,254.07766367897443
13812,2020-04-04,Sweden,637.9669025583037,20.298496822047532,36.93336251035966
13824,2020-04-04,US,936.8181690385599,44.47192552325605,32.9472257408507
13828,2020-04-04,United Kingdom,625.7107135073085,3.1670740260392996,77.01145585178352
13904,2020-04-05,Germany,1195.0141521743815,342.54772796864603,18.9057700732521
13923,2020-04-05,Italy,2132.7175222026035,360.8061602107035,262.76082820387103
13999,2020-04-05,Sweden,676.2865038760227,20.298496822047532,39.705840125078346
14011,2020-04-05,US,1022.2654559161673,52.95837814153505,37.56074790815545
14015,2020-04-05,United Kingdom,713.4902210476257,3.373302102153487,86.52740850676673
14091,2020-04-06,Germany,1233.8163355759866,342.54772796864603,21.60318423774388
14110,2020-04-06,Italy,2192.242682440895,377.70938715250225,273.2798617997458
14186,2020-04-06,Sweden,713.5169175593879,20.298496822047532,47.23113650788621
14198,2020-04-06,US,1111.8497366845882,59.43248523552257,42.17123486350802
14202,2020-04-06,United Kingdom,770.0998279409699,4.227675560340833,94.93856789685249
14278,2020-04-07,Germany,1285.0075273968062,430.6433649072027,24.061889184139037
14297,2020-04-07,Italy,2242.5058005192964,403.42809350719597,283.2696358436268
14373,2020-04-07,Sweden,761.7382246439594,20.298496822047532,58.51908108209801
14385,2020-04-07,US,1205.3464056593616,66.05531771516662,49.143116717652106
14389,2020-04-07,United Kingdom,824.1610450366176,4.787437481222197,110.22890668303293
14465,2020-04-08,Germany,1352.2399786737185,552.6118398936694,28.03639766544772
14484,2020-04-08,Italy,2305.9507893145405,438.14421224578257,292.23396950552007
14560,2020-04-08,Sweden,833.6246085113082,20.298496822047532,68.02471861827637
14572,2020-04-08,US,1301.05574414727,71.50655838127145,55.453322366222224
14576,2020-04-08,United Kingdom,905.5474822173949,5.082049018528179,125.48978431548277
14652,2020-04-09,Germany,1410.5447051938172,625.5016996394716,31.115746578894083
14671,2020-04-09,Italy,2375.482262957713,470.8756076643928,302.3229797153999
